# Copyright (C) 1991-2007 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 7.2 Build 151 09/26/2007 SJ Web Edition
# File: D:\Faculdade\IC_VHDL\Developments\Prewitt_Filter_VHDL\PrewittVHDL_1.0\quartus\decod7seg\decod7seg.csv
# Generated on: Fri Aug 24 09:00:55 2012

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,Vref Group,I/O Standard,Reserved,Group
a[15],Input,PIN_N25,5,B5_N1,3.3-V LVTTL,,a[15..0]
a[14],Input,PIN_N26,5,B5_N1,3.3-V LVTTL,,a[15..0]
a[13],Input,PIN_P25,6,B6_N0,3.3-V LVTTL,,a[15..0]
a[12],Input,PIN_AE14,7,B7_N1,3.3-V LVTTL,,a[15..0]
a[11],Input,PIN_AF14,7,B7_N1,3.3-V LVTTL,,a[15..0]
a[10],Input,PIN_AD13,8,B8_N0,3.3-V LVTTL,,a[15..0]
a[9],Input,PIN_AC13,8,B8_N0,3.3-V LVTTL,,a[15..0]
a[8],Input,PIN_C13,3,B3_N0,3.3-V LVTTL,,a[15..0]
a[7],Input,PIN_B13,4,B4_N1,3.3-V LVTTL,,a[15..0]
a[6],Input,PIN_A13,4,B4_N1,3.3-V LVTTL,,a[15..0]
a[5],Input,PIN_N1,2,B2_N1,3.3-V LVTTL,,a[15..0]
a[4],Input,PIN_P1,1,B1_N0,3.3-V LVTTL,,a[15..0]
a[3],Input,PIN_P2,1,B1_N0,3.3-V LVTTL,,a[15..0]
a[2],Input,PIN_T7,1,B1_N0,3.3-V LVTTL,,a[15..0]
a[1],Input,PIN_U3,1,B1_N0,3.3-V LVTTL,,a[15..0]
a[0],Input,PIN_U4,1,B1_N0,3.3-V LVTTL,,a[15..0]
s1[6],Output,PIN_AF10,8,B8_N0,3.3-V LVTTL,,s1[6..0]
s1[5],Output,PIN_AB12,8,B8_N0,3.3-V LVTTL,,s1[6..0]
s1[4],Output,PIN_AC12,8,B8_N0,3.3-V LVTTL,,s1[6..0]
s1[3],Output,PIN_AD11,8,B8_N0,3.3-V LVTTL,,s1[6..0]
s1[2],Output,PIN_AE11,8,B8_N0,3.3-V LVTTL,,s1[6..0]
